participant,date,score,index,system,question,name
WR,2021/07/24 5:13:43 PM OEZ,4,1,Reference,1,covererage
WR,2021/07/24 5:13:43 PM OEZ,5,1,Reference,2,redundancy
WR,2021/07/24 5:13:43 PM OEZ,5,1,Reference,3,semantic
WR,2021/07/24 5:13:43 PM OEZ,3,1,Reference,4,grammar
WR,2021/07/24 5:13:43 PM OEZ,3,25,T2T+pg+cv,1,covererage
WR,2021/07/24 5:13:43 PM OEZ,2,25,T2T+pg+cv,2,redundancy
WR,2021/07/24 5:13:43 PM OEZ,1,25,T2T+pg+cv,3,semantic
WR,2021/07/24 5:13:43 PM OEZ,5,25,T2T+pg+cv,4,grammar
WR,2021/07/24 5:13:43 PM OEZ,3,18,C2T+pg,1,covererage
WR,2021/07/24 5:13:43 PM OEZ,5,18,C2T+pg,2,redundancy
WR,2021/07/24 5:13:43 PM OEZ,2,18,C2T+pg,3,semantic
WR,2021/07/24 5:13:43 PM OEZ,3,18,C2T+pg,4,grammar
WR,2021/07/24 5:13:43 PM OEZ,2,12,C2T+pg+cv,1,covererage
WR,2021/07/24 5:13:43 PM OEZ,3,12,C2T+pg+cv,2,redundancy
WR,2021/07/24 5:13:43 PM OEZ,1,12,C2T+pg+cv,3,semantic
WR,2021/07/24 5:13:43 PM OEZ,5,12,C2T+pg+cv,4,grammar
WR,2021/07/24 5:13:43 PM OEZ,3,29,T2T+pg+cv,1,covererage
WR,2021/07/24 5:13:43 PM OEZ,4,29,T2T+pg+cv,2,redundancy
WR,2021/07/24 5:13:43 PM OEZ,1,29,T2T+pg+cv,3,semantic
WR,2021/07/24 5:13:43 PM OEZ,5,29,T2T+pg+cv,4,grammar
WR,2021/07/24 5:13:43 PM OEZ,2,27,Reference,1,covererage
WR,2021/07/24 5:13:43 PM OEZ,5,27,Reference,2,redundancy
WR,2021/07/24 5:13:43 PM OEZ,4,27,Reference,3,semantic
WR,2021/07/24 5:13:43 PM OEZ,3,27,Reference,4,grammar
WR,2021/07/24 5:13:43 PM OEZ,1,8,C2T,1,covererage
WR,2021/07/24 5:13:43 PM OEZ,2,8,C2T,2,redundancy
WR,2021/07/24 5:13:43 PM OEZ,1,8,C2T,3,semantic
WR,2021/07/24 5:13:43 PM OEZ,3,8,C2T,4,grammar
WR,2021/07/24 5:13:43 PM OEZ,2,29,T2T+pg,1,covererage
WR,2021/07/24 5:13:43 PM OEZ,1,29,T2T+pg,2,redundancy
WR,2021/07/24 5:13:43 PM OEZ,1,29,T2T+pg,3,semantic
WR,2021/07/24 5:13:43 PM OEZ,4,29,T2T+pg,4,grammar
WR,2021/07/24 5:13:43 PM OEZ,1,18,T2T+pg,1,covererage
WR,2021/07/24 5:13:43 PM OEZ,1,18,T2T+pg,2,redundancy
WR,2021/07/24 5:13:43 PM OEZ,1,18,T2T+pg,3,semantic
WR,2021/07/24 5:13:43 PM OEZ,3,18,T2T+pg,4,grammar
WR,2021/07/24 5:13:43 PM OEZ,1,5,C2T,1,covererage
WR,2021/07/24 5:13:43 PM OEZ,3,5,C2T,2,redundancy
WR,2021/07/24 5:13:43 PM OEZ,1,5,C2T,3,semantic
WR,2021/07/24 5:13:43 PM OEZ,5,5,C2T,4,grammar
WL,2021/07/24 8:23:08 PM OEZ,2,28,C2T+pg,1,covererage
WL,2021/07/24 8:23:08 PM OEZ,5,28,C2T+pg,2,redundancy
WL,2021/07/24 8:23:08 PM OEZ,1,28,C2T+pg,3,semantic
WL,2021/07/24 8:23:08 PM OEZ,4,28,C2T+pg,4,grammar
WL,2021/07/24 8:23:08 PM OEZ,2,30,C2T+pg,1,covererage
WL,2021/07/24 8:23:08 PM OEZ,5,30,C2T+pg,2,redundancy
WL,2021/07/24 8:23:08 PM OEZ,4,30,C2T+pg,3,semantic
WL,2021/07/24 8:23:08 PM OEZ,4,30,C2T+pg,4,grammar
WL,2021/07/24 8:23:08 PM OEZ,2,12,T2T+pg,1,covererage
WL,2021/07/24 8:23:08 PM OEZ,2,12,T2T+pg,2,redundancy
WL,2021/07/24 8:23:08 PM OEZ,1,12,T2T+pg,3,semantic
WL,2021/07/24 8:23:08 PM OEZ,1,12,T2T+pg,4,grammar
WL,2021/07/24 8:23:08 PM OEZ,1,19,C2T+pg,1,covererage
WL,2021/07/24 8:23:08 PM OEZ,4,19,C2T+pg,2,redundancy
WL,2021/07/24 8:23:08 PM OEZ,2,19,C2T+pg,3,semantic
WL,2021/07/24 8:23:08 PM OEZ,4,19,C2T+pg,4,grammar
WL,2021/07/24 8:23:08 PM OEZ,4,18,C2T+pg+cv,1,covererage
WL,2021/07/24 8:23:08 PM OEZ,4,18,C2T+pg+cv,2,redundancy
WL,2021/07/24 8:23:08 PM OEZ,4,18,C2T+pg+cv,3,semantic
WL,2021/07/24 8:23:08 PM OEZ,4,18,C2T+pg+cv,4,grammar
WL,2021/07/24 8:23:08 PM OEZ,4,20,Reference,1,covererage
WL,2021/07/24 8:23:08 PM OEZ,4,20,Reference,2,redundancy
WL,2021/07/24 8:23:08 PM OEZ,3,20,Reference,3,semantic
WL,2021/07/24 8:23:08 PM OEZ,4,20,Reference,4,grammar
WL,2021/07/24 8:23:08 PM OEZ,2,16,C2T+pg,1,covererage
WL,2021/07/24 8:23:08 PM OEZ,2,16,C2T+pg,2,redundancy
WL,2021/07/24 8:23:08 PM OEZ,1,16,C2T+pg,3,semantic
WL,2021/07/24 8:23:08 PM OEZ,3,16,C2T+pg,4,grammar
WL,2021/07/24 8:23:08 PM OEZ,3,11,Reference,1,covererage
WL,2021/07/24 8:23:08 PM OEZ,3,11,Reference,2,redundancy
WL,2021/07/24 8:23:08 PM OEZ,2,11,Reference,3,semantic
WL,2021/07/24 8:23:08 PM OEZ,4,11,Reference,4,grammar
WL,2021/07/24 8:23:08 PM OEZ,1,1,T2T+pg,1,covererage
WL,2021/07/24 8:23:08 PM OEZ,4,1,T2T+pg,2,redundancy
WL,2021/07/24 8:23:08 PM OEZ,1,1,T2T+pg,3,semantic
WL,2021/07/24 8:23:08 PM OEZ,2,1,T2T+pg,4,grammar
WL,2021/07/24 8:23:08 PM OEZ,1,26,C2T+pg+cv,1,covererage
WL,2021/07/24 8:23:08 PM OEZ,3,26,C2T+pg+cv,2,redundancy
WL,2021/07/24 8:23:08 PM OEZ,1,26,C2T+pg+cv,3,semantic
WL,2021/07/24 8:23:08 PM OEZ,4,26,C2T+pg+cv,4,grammar
YZY,2021/07/24 10:23:20 PM OEZ,3,19,C2T_char,1,covererage
YZY,2021/07/24 10:23:20 PM OEZ,5,19,C2T_char,2,redundancy
YZY,2021/07/24 10:23:20 PM OEZ,5,19,C2T_char,3,semantic
YZY,2021/07/24 10:23:20 PM OEZ,5,19,C2T_char,4,grammar
YZY,2021/07/24 10:23:20 PM OEZ,2,14,C2T_char,1,covererage
YZY,2021/07/24 10:23:20 PM OEZ,2,14,C2T_char,2,redundancy
YZY,2021/07/24 10:23:20 PM OEZ,1,14,C2T_char,3,semantic
