(NIST, BLEU)
(0.4285714285714286,0.3965014577259474)

(METEOR, BLEU)
(-0.14285714285714288,0.7871720116618075)

(ROUGE_L, BLEU)
(-0.4285714285714286,0.3965014577259474)

(CIDEr, BLEU)
(-0.6,0.20799999999999982)

(cover., BLEU)
(0.08696565534786728,0.8698803787001028)

(non-redun, BLEU)
significant !
(-0.942857142857143,0.004804664723032055)

(semant., BLEU)
(-0.3142857142857143,0.5440932944606414)

(gramm, BLEU)
(-0.5428571428571429,0.26570262390670557)

(METEOR, NIST)
(-0.6,0.20799999999999982)

(ROUGE_L, NIST)
(-0.7142857142857143,0.1107871720116617)

(CIDEr, NIST)
significant !
(-0.8285714285714287,0.04156268221574334)

(cover., NIST)
(-0.057977103565244846,0.9131317851623264)

(non-redun, NIST)
(-0.48571428571428577,0.3287230320699709)

(semant., NIST)
(-0.6,0.20799999999999982)

(gramm, NIST)
(0.3142857142857143,0.5440932944606414)

(ROUGE_L, METEOR)
significant !
(0.942857142857143,0.004804664723032055)

(CIDEr, METEOR)
(0.7714285714285715,0.07239650145772594)

(cover., METEOR)
(0.6087595874350709,0.19966018946036257)

(non-redun, METEOR)
(0.08571428571428573,0.8717434402332361)

(semant., METEOR)
significant !
(0.8285714285714287,0.04156268221574334)

(gramm, METEOR)
(0.028571428571428574,0.9571545189504373)

(CIDEr, ROUGE_L)
significant !
(0.8857142857142858,0.01884548104956266)

(cover., ROUGE_L)
(0.40583972495671394,0.42466250756136453)

(non-redun, ROUGE_L)
(0.3714285714285715,0.46847813411078715)

(semant., ROUGE_L)
(0.7714285714285715,0.07239650145772594)

(gramm, ROUGE_L)
(0.08571428571428573,0.8717434402332361)

(cover., CIDEr)
(0.3478626213914691,0.4992532181146331)

(non-redun, CIDEr)
(0.48571428571428577,0.3287230320699709)

(semant., CIDEr)
(0.7714285714285715,0.07239650145772594)

(gramm, CIDEr)
(0.14285714285714288,0.7871720116618075)

(non-redun, cover.)
(-0.20291986247835694,0.699797968157019)

(semant., cover.)
significant !
(0.8116794499134278,0.04985758510134042)

(gramm, cover.)
(0.4638168285219587,0.3541642984362307)

(semant., non-redun)
(0.2571428571428572,0.6227871720116618)

(gramm, non-redun)
(0.3714285714285715,0.46847813411078715)

(gramm, semant.)
(0.3142857142857143,0.5440932944606414)

