Zeitstempel,Please enter the file name (index) of your HTML file:,How do you judge the Information Coverage of the company summary?,How do you judge the Non-Redundancy of Information in the company summary?,How do you judge the Semantic Adequacy of the company summary?,How do you judge the Grammatical Correctness of the company summary?,How do you judge the Information Coverage of the company summary?,How do you judge the Non-Redundancy of Information in the company summary?,How do you judge the Semantic Adequacy of the company summary?,How do you judge the Grammatical Correctness of the company summary?,How do you judge the Information Coverage of the company summary?,How do you judge the Non-Redundancy of Information in the company summary?,How do you judge the Semantic Adequacy of the company summary?,How do you judge the Grammatical Correctness of the company summary?,How do you judge the Information Coverage of the company summary?,How do you judge the Non-Redundancy of Information in the company summary?,How do you judge the Semantic Adequacy of the company summary?,How do you judge the Grammatical Correctness of the company summary?,How do you judge the Information Coverage of the company summary?,How do you judge the Non-Redundancy of Information in the company summary?,How do you judge the Semantic Adequacy of the company summary?,How do you judge the Grammatical Correctness of the company summary?,How do you judge the Information Coverage of the company summary?,How do you judge the Non-Redundancy of Information in the company summary?,How do you judge the Semantic Adequacy of the company summary?,How do you judge the Grammatical Correctness of the company summary?,How do you judge the Information Coverage of the company summary?,How do you judge the Non-Redundancy of Information in the company summary?,How do you judge the Semantic Adequacy of the company summary?,How do you judge the Grammatical Correctness of the company summary?,How do you judge the Information Coverage of the company summary?,How do you judge the Non-Redundancy of Information in the company summary?,How do you judge the Semantic Adequacy of the company summary?,How do you judge the Grammatical Correctness of the company summary?,How do you judge the Information Coverage of the company summary?,How do you judge the Non-Redundancy of Information in the company summary?,How do you judge the Semantic Adequacy of the company summary?,How do you judge the Grammatical Correctness of the company summary?,How do you judge the Information Coverage of the company summary?,How do you judge the Non-Redundancy of Information in the company summary?,How do you judge the Semantic Adequacy of the company summary?,How do you judge the Grammatical Correctness of the company summary?
2021/07/24 5:13:43 PM OEZ,1,4,5,5,3,3,2,1,5,3,5,2,3,2,3,1,5,3,4,1,5,2,5,4,3,1,2,1,3,2,1,1,4,1,1,1,3,1,3,1,5
2021/07/24 8:23:08 PM OEZ,13,2,5,1,4,2,5,4,4,2,2,1,1,1,4,2,4,4,4,4,4,4,4,3,4,2,2,1,3,3,3,2,4,1,4,1,2,1,3,1,4
2021/07/24 10:23:20 PM OEZ,11,3,5,5,5,2,2,1,1,2,2,3,4,2,5,1,4,2,5,2,5,1,2,1,5,3,5,3,5,2,4,3,5,5,4,4,5,2,5,2,5
2021/07/25 2:23:51 AM OEZ,12,3,3,4,2,3,2,2,5,4,5,1,5,4,5,2,5,4,5,5,5,4,5,1,4,4,3,1,4,4,2,1,2,4,5,3,4,4,3,1,2
2021/07/25 10:59:57 AM OEZ,16,2,5,2,3,2,1,3,5,3,5,5,5,4,5,5,5,2,5,2,5,4,5,5,5,4,5,4,5,3,4,2,5,4,4,5,5,1,1,1,1
2021/07/25 1:31:41 PM OEZ,3,5,5,5,4,5,5,5,4,5,5,5,5,5,5,5,4,3,5,3,4,4,4,5,4,5,5,5,5,5,5,5,5,2,1,3,3,3,2,4,4
2021/07/25 2:53:31 PM OEZ,19,1,1,2,2,3,3,2,4,2,2,2,4,2,2,2,3,1,1,2,1,1,2,1,1,2,2,1,2,1,1,1,1,1,5,2,4,2,4,4,4
2021/07/25 5:04:50 PM OEZ,17,4,3,5,5,5,4,4,5,4,3,5,5,5,5,5,5,4,3,4,3,5,5,5,5,4,4,5,4,5,4,4,4,5,3,5,5,5,3,3,5
2021/07/25 8:05:23 PM OEZ,15,2,4,2,4,2,4,1,4,2,4,2,3,2,1,2,1,2,3,2,4,2,4,2,4,2,3,2,4,1,3,1,4,3,4,4,4,2,4,2,4
2021/07/26 5:14:59 AM OEZ,14,3,4,3,4,4,4,3,4,4,5,4,4,5,5,4,5,3,4,4,5,2,3,2,4,5,5,5,4,3,4,3,4,5,5,5,5,4,2,3,3
2021/07/26 5:25:49 AM OEZ,10,3,4,2,2,4,5,3,3,3,3,3,3,2,3,3,2,2,4,3,3,2,2,3,3,2,3,3,3,2,3,3,3,2,5,3,3,2,4,3,3
2021/07/26 6:56:24 PM OEZ,4,1,4,1,5,4,5,5,4,2,1,1,1,5,4,3,2,3,5,5,5,2,4,1,4,2,5,4,5,1,5,1,5,2,1,1,1,1,5,2,5
2021/07/26 10:26:42 PM OEZ,6,2,2,4,2,3,5,5,3,4,2,3,2,4,2,3,3,4,3,4,3,3,5,5,3,4,5,5,3,3,4,3,4,3,5,5,3,5,5,5,4
2021/07/27 10:44:42 AM OEZ,7,4,5,5,5,2,2,3,3,2,2,5,5,4,5,5,4,4,4,5,4,2,5,5,5,4,5,5,5,2,5,5,5,3,5,5,5,3,5,5,5
2021/07/27 3:22:32 PM OEZ,2,5,5,5,4,4,4,3,4,1,5,3,1,5,5,5,5,5,5,4,5,4,4,3,4,3,4,4,4,5,3,4,4,4,4,4,4,1,2,3,2
2021/07/28 12:38:22 PM OEZ,9,3,5,3,4,3,1,3,2,5,5,4,5,4,5,5,5,5,5,3,3,5,5,5,5,5,5,5,5,4,1,2,3,4,2,3,4,1,1,2,3
2021/07/29 1:51:44 AM OEZ,8,3,5,4,3,2,4,4,4,1,5,2,4,3,5,4,4,4,5,4,4,3,1,4,4,3,5,5,4,3,5,4,4,4,5,5,4,4,5,4,4
2021/07/29 3:32:31 PM OEZ,5,2,4,1,5,1,5,1,4,2,2,4,5,1,5,1,4,1,5,2,5,2,1,2,3,2,5,2,1,3,4,3,5,3,5,5,5,4,3,2,5
2021/08/01 9:49:05 PM OEZ,18,3,5,5,5,2,5,3,4,3,3,3,4,3,5,5,5,2,4,3,4,3,4,4,5,2,4,3,5,2,4,2,3,2,5,3,5,4,5,4,5
